index	label	city	Lufthansa	American Airlines	United	Adria
string	string	string	1 0	1 0	1 0	1 0
						class
602	DEN	Denver	1	1	1	0
603	FLN	Florianopolis SC BR	0	1	0	0
604	XSH	Tours Rail Svc FR	0	1	1	0
605	CNS	Cairns QL AU	0	1	1	0
606	SCL	Santiago (Chile)	1	1	1	0
607	SCN	Saarbrücken/Saarbruecken	1	0	0	0
608	AMM	Amman	1	0	0	0
609	AMA	Amarillo TX US	0	1	1	0
610	ROA	Roanoke	1	0	1	0
611	ROB	Monrovia LR	0	1	0	0
612	ROC	Rochester NY	1	1	1	0
613	WUH	Wuhan, China	0	0	1	0
614	MNL	Manila	1	0	0	0
615	OSL	Oslo	1	1	1	0
616	PTY	Panama City PA	0	1	0	0
617	AMS	Amsterdam	1	1	1	1
618	ROS	Rosario SF AR	0	1	0	0
619	SCQ	Santiago de Compostela	1	0	0	0
620	ROV	Rostov	1	0	0	0
621	PTP	Pointe-a-Pitre GP	0	1	0	0
622	TRI	Tri-Cities Apt, TN	0	0	1	0
623	BDA	Bermuda	1	1	1	0
624	EWN	New Bern	1	0	1	0
625	TRN	Turin	1	1	1	0
626	BDL	Hartford	1	1	1	0
627	TRC	Torreon MX	0	1	0	0
628	TRD	Trondheim	1	0	0	0
629	BDS	Brindisi	1	0	0	0
630	EWR	New York Newark	1	1	1	0
631	TRS	Triest/Trieste	1	0	1	0
632	PBI	West Palm Beach	1	1	1	0
633	MHH	Marsh Harbour BS	0	1	0	0
634	LRD	Laredo TX US	0	1	0	0
635	CGR	Campo Grande MS BR	0	1	0	0
636	LIR	Liberia CR	0	1	0	0
637	MPM	Maputo, Mozambique	0	0	1	0
638	AVP	Scranton	1	0	1	0
639	AVL	Asheville, NC	0	0	1	0
640	TYS	Knoxville	1	1	1	0
641	YQM	Moncton	1	0	0	0
642	SUF	Lamezia-Terme	1	0	0	0
643	ACA	Acapulco	1	1	0	0
644	ACE	Lanzarote	1	0	0	0
645	SUN	Hailey/Sun Valley ID US	0	1	0	0
646	NAT	Natal RN BR	0	1	0	0
647	YQB	Quebec	1	0	1	0
648	KUO	Kuopio	1	0	0	0
649	KUL	Kuala Lumpur	1	1	0	0
650	ACV	Eureka/Arcata, CA	0	0	1	0
651	ACT	Waco TX US	0	1	0	0
652	NEV	Nevis KN	0	1	0	0
653	KUF	Samara	1	0	0	0
654	YQR	Regina	1	0	0	0
655	MDZ	Mendoza MD AR	0	1	0	0
656	CGK	Jakarta	1	1	0	0
657	YXY	Whitehorse	1	0	0	0
658	CGN	Köln-Bonn/Cologne	1	0	1	0
659	CGB	Cuiaba MT BR	0	1	0	0
660	BKI	Kota Kinabalu, Malaysia	0	0	1	0
661	BKK	Bangkok Suvarnabhumi Intl	1	1	1	0
662	PMD	Palmdale, CA	0	0	1	0
663	NBO	Nairobi	1	1	0	0
664	PMC	Puerto Montt CL	0	1	0	0
665	PMO	Palermo	1	0	0	0
666	BKX	Brookings, SD	0	0	1	0
667	PMI	Palma (Mallorca)	1	1	0	0
668	YXE	Saskatoon	1	0	0	0
669	RDU	Raleigh-Durham	1	1	1	0
670	CUU	Chihuahua MX	0	1	0	0
671	ZLN	Le Mans Rail Svc FR	0	1	1	0
672	CUR	Curacao AN	0	1	0	0
673	ELM	Corning	1	0	0	0
674	CUZ	Cuzco, Peru	0	0	1	0
675	DNK	Dnipropetrowsk/Dnepropetrovsk	1	0	0	0
676	SJU	San Juan	1	1	1	0
677	SJJ	Sarajevo	1	0	1	1
678	RDD	Redding, CA	0	0	1	0
679	ADD	Addis Ababa	1	0	1	0
680	ADB	Izmir	1	0	0	0
681	SJO	San Jose CR	0	1	1	0
682	RDM	Bend	1	0	1	0
683	ELS	East London	1	0	1	0
684	ELP	El Paso	1	1	1	0
685	SJD	San Jose/Los Cabos MX	0	1	1	0
686	LED	St. Petersburg	1	0	0	0
687	MEM	Memphis	1	1	1	0
688	MEL	Melbourne	1	1	1	0
689	LEJ	Leipzig-Halle	1	0	0	0
690	BRS	Bristol GB	0	1	0	0
691	CUN	Cancun	1	1	1	0
692	BRN	Bern/Berne	1	0	0	0
693	KSF	Kassel DE	0	1	0	0
694	BSB	Brasilia BR	0	1	0	0
695	BRI	Bari	1	0	0	0
696	LEX	Lexington	1	1	1	0
697	BRE	Bremen	1	0	0	0
698	KZN	Kazan	1	0	0	0
699	MEX	Mexiko Stadt/Mexico City	1	1	1	0
700	GDN	Danzig/Gdansk	1	0	0	0
701	CIC	Chico, CA	0	0	1	0
702	JER	Jersey GB	0	1	0	0
703	LGA	New York (La Guardia) NY US	0	1	1	0
704	USA	Birmingham	1	0	0	0
705	AZO	Kalamazoo	1	1	1	0
706	IQQ	Iquique CL	0	1	0	0
707	MSQ	Minsk	1	0	0	0
708	MSP	Minneapolis-St. Paul	1	1	1	0
709	MSO	Missoula, MT	0	0	1	0
710	MSN	Madison	1	1	1	0
711	CIW	Canouan Is. VC	0	1	0	0
712	TXL	Berlin Tegel	1	1	1	0
713	TXK	Texarkana AR US	0	1	0	0
714	RKS	Rock Springs, WY	0	0	1	0
715	DAL	Dallas (Love Field) TX US	0	1	0	0
716	DAM	Damaskus/Damascus	1	0	0	0
717	BZN	Bozeman, MT	0	0	1	0
718	SGU	St George, UT	0	0	1	0
719	SEA	Seattle	1	1	1	0
720	DAR	Daressalam/Dar Es Salaam	1	1	0	0
721	SGN	Ho-Tschi-Minh-Stadt/Ho Chi Minh City	1	1	1	0
722	EAR	Kearney, NE	0	0	1	0
723	DAY	Dayton	1	1	1	0
724	SGF	Springfield MO	1	1	1	0
725	MYR	Myrtle Beach, SC	0	0	1	0
726	ESS	Essen DE	0	1	0	0
727	ICN	Seoul	1	0	1	0
728	HON	Huron, SD	0	0	1	0
729	FPO	Freeport, Bahamas	0	0	1	0
730	GVA	Genf/Geneva	1	1	1	0
731	CNX	Chiang Mai	1	0	0	0
732	CNF	Belo Horizonte (T Neves) MG BR	0	1	0	0
733	KLU	Klagenfurt	1	0	1	0
734	HOU	Houston (Hobby) TX US	0	1	0	0
735	ESB	Ankara Esenboga	1	0	0	0
736	HOQ	Hof	1	0	0	0
737	ICT	Wichita	1	1	1	0
738	NKG	Nanking/Nanjing	1	0	1	0
739	ZCL	Zacatecas MX	0	1	0	0
740	OOL	Gold Coast, Australia	0	0	1	0
741	RTB	Roatan, Honduras	0	0	1	0
742	YGJ	Yonago, Japan	0	0	1	0
743	KGL	Kigali RW	0	1	0	0
744	VSA	Villahermosa MX	0	1	0	0
745	QDU	Dusseldorf (Main/HBF) Rail Svc DE	0	1	0	0
746	GRZ	Graz	1	0	1	0
747	EZE	Buenos Aires	1	1	1	0
748	HHH	Hilton Head, SC	0	0	1	0
749	DXB	Dubai	1	1	1	0
